"station_names","wmo_id","ThunderstormDaysAmount","RecordCompleteness","ObservationYears","HeightASL","Lat","Lon"
"Selbu-Stubbe","01274",49,0.777082518576457,7,242,63.2,11.1166666666667
"Sella Ness","03006",8,0.826407616245812,13,7,60.45,-1.26666666666667
"Senkursk ","22768",383,1.00032511978097,20,50,62.100002,42.900018
"Severo-Enisejsk ","23986",169,0.986401543440378,13,511,60.366674,93.033334
"Severodvinsk ","22546",97,0.800198467013414,11,7,64.550011,39.750015
"Shangaly ","22869",173,0.555987292277615,11,117,61.133336,43.350007
"SHINGLE POINT","71968",10,0.801302088038496,19,56,68.95,-137.22
"Sihcajavri ","01199",106,0.811598454843284,20,382,68.750015,23.533344
"Skalmen Fyr","01224",3,0.824237468624021,14,13,63.4666666666667,7.75
"Sklinna Fyr ","01102",8,0.916587690201653,20,23,65.200004,11
"Skrova Fyr ","01160",17,0.965711051440004,20,11,68.150003,14.650013
"Sletnes Fyr ","01078",7,0.954364885346893,20,8,71.083335,28.233338
"Snezhnogorsk ","23179",33,0.679291044776119,11,89,68.100002,87.766682
"Sodankyla ","02836",94,0.996772616136919,20,179,67.366674,26.650013
"Soervaag / Vagar","06010",1,0.00086601854955861,6,85,62.0666666666667,-7.28333333333333
"Sogo-Haya ","24557",29,0.917693360711841,10,85,64.283339,126.450009
"Sojna ","22271",62,0.955287474332649,20,16,67.883351,44.133336
"Sorkjosen ","01046",12,0.930031292783102,15,6,69.783349,20.966686
